연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 광주시 쌍령동 ,18422,1951,1632,2387,2893,3186,3054,2145,862,266,43,3,9194,1009,791,1241,1456,1622,1475,1067,410,118,5,0,9228,942,841,1146,1437,1564,1579,1078,452,148,38,3
2021,04,읍면동,경기도 광주시 오포읍 ,112851,11067,8883,13418,19665,20355,17407,13421,6055,2215,347,18,57127,5747,4552,7040,10209,10831,8468,6486,2857,850,82,5,55724,5320,4331,6378,9456,9524,8939,6935,3198,1365,265,13
2021,04,읍면동,경기도 광주시 초월읍 ,46655,3710,5044,5529,6166,8211,7991,6033,2689,1117,161,4,24299,1941,2571,2967,3245,4363,4291,3169,1303,417,31,1,22356,1769,2473,2562,2921,3848,3700,2864,1386,700,130,3
2021,04,읍면동,경기도 광주시 탄벌동 ,39192,3026,3630,5025,5229,6819,7364,5218,2061,722,93,5,19924,1539,1837,2651,2800,3499,3667,2609,1014,284,24,0,19268,1487,1793,2374,2429,3320,3697,2609,1047,438,69,5
2021,04,읍면동,경기도 광주시 퇴촌면 ,15373,1086,1233,1189,1471,2467,2593,3006,1601,620,104,3,7829,536,666,666,759,1349,1338,1450,798,238,27,2,7544,550,567,523,712,1118,1255,1556,803,382,77,1
2021,04,시군,경기도 구리시 ,195324,14674,17799,26947,25635,32331,35364,25252,11629,4982,659,52,96900,7559,9199,13848,12915,16131,17427,12582,5204,1849,167,19,98424,7115,8600,13099,12720,16200,17937,12670,6425,3133,492,33
2021,04,읍면동,경기도 구리시 갈매동 ,31135,4484,2300,3281,5792,5845,4169,3362,1430,407,65,0,15439,2316,1145,1623,2795,3105,2014,1598,701,129,13,0,15696,2168,1155,1658,2997,2740,2155,1764,729,278,52,0
2021,04,읍면동,경기도 구리시 교문1동,16366,714,1069,2201,2012,2478,3199,2680,1315,588,83,27,8359,371,515,1150,1112,1337,1648,1363,608,220,24,11,8007,343,554,1051,900,1141,1551,1317,707,368,59,16
2021,04,읍면동,경기도 구리시 교문2동,22010,1534,2670,3030,2451,3785,3917,2780,1227,545,67,4,10691,771,1359,1572,1197,1746,1886,1360,565,218,16,1,11319,763,1311,1458,1254,2039,2031,1420,662,327,51,3
2021,04,읍면동,경기도 구리시 동구동 ,37888,2646,3903,5599,4529,6261,7225,4473,2098,1007,141,6,18701,1400,2079,2893,2285,2983,3457,2284,891,388,39,2,19187,1246,1824,2706,2244,3278,3768,2189,1207,619,102,4
